Prog_Navio;Cod_Documento;Tipo_Importacao;Num_CE;Num_BL;Data_Presenca_Carga;Sit_Siscomex;Data_Lib_Siscomex;Nome_Despachante;Doc_Importacao;Data_Doc_Importacao;Data_Chegada_Doc_Impo;Nome_Exportador;Peso_Bruto;Peso_Liquido;Data_Desembaraco;Pais_Ori_Mercadoria
1606;2053;DI;171705104493481;PIN158PMY36B;2017-06-08 00:00:00.000;NULL;1900-01-01 00:00:00.000;ELISABETH LASALA CIDRAL;1709372119;2017-06-08 00:00:00.000;2017-06-07 00:00:00.000;ALUAR ALUMINIO ARGENTINO S.A.I.C;1026686.000;1026686.000;2017-06-08 00:00:00.000;ARGENTINA
1606;2054;DI;171705104498017;PIN158PMY37B;2017-06-08 00:00:00.000;NULL;1900-01-01 00:00:00.000;ELISABETH LASALA CIDRAL;1709365937;2017-06-08 00:00:00.000;2017-06-07 00:00:00.000;ALUAR ALUMINIO ARGENTINO S.A.I.C;25248.000;25248.000;2017-06-08 00:00:00.000;ARGENTINA
1606;2055;DI;171705104498521;PIN158PMY38B;2017-06-09 00:00:00.000;NULL;1900-01-01 00:00:00.000;ELISABETH LASALA CIDRAL;1709436222;2017-06-09 00:00:00.000;2017-06-07 00:00:00.000;ALUAR ALUMINIO ARGENTINO S.A.I.C;917807.000;917807.000;2017-06-09 00:00:00.000;ARGENTINA
1606;2056;DI;171705104493210;PIN158PMY35B;1900-01-01 00:00:00.000;NULL;1900-01-01 00:00:00.000;SAMANTHA MARTINS SIEBERS PEREIRA;;1900-01-01 00:00:00.000;1900-01-01 00:00:00.000;ALUAR ALUMINIO ARGENTINO S.A.I.C;101357.000;101357.000;1900-01-01 00:00:00.000;ARGENTINA
1605;2070;CB;171703103602382;;1900-01-01 00:00:00.000;NULL;1900-01-01 00:00:00.000;TESC;;1900-01-01 00:00:00.000;2017-06-10 00:00:00.000;ARCELORMITTAL BRASIL S.A;NULL;NULL;1900-01-01 00:00:00.000;BRASIL
1605;2071;CB;171703103613740;;1900-01-01 00:00:00.000;NULL;1900-01-01 00:00:00.000;TESC;;1900-01-01 00:00:00.000;2017-06-10 00:00:00.000;ARCELORMITTAL BRASIL S.A;NULL;NULL;1900-01-01 00:00:00.000;BRASIL
1609;2072;CB;171703111873453;;1900-01-01 00:00:00.000;NULL;1900-01-01 00:00:00.000;TESC;;1900-01-01 00:00:00.000;2017-06-11 00:00:00.000;ARCELORMITTAL BRASIL S.A;NULL;NULL;1900-01-01 00:00:00.000;BRASIL
1609;2073;CB;171703111876534;;1900-01-01 00:00:00.000;NULL;1900-01-01 00:00:00.000;TESC;;1900-01-01 00:00:00.000;2017-06-11 00:00:00.000;ARCELORMITTAL BRASIL S.A;NULL;NULL;1900-01-01 00:00:00.000;BRASIL
